symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName
PPL-PC.TO,Pembina Pipeline Corporation,20635531300,Energy,Oil & Gas Midstream,0.0,13.18,1.1195,3297,Toronto,TSX
PPL-PQ.TO,Pembina Pipeline Corporation,19841824800,Energy,Oil & Gas Midstream,0.0,14.17,1.205252,3377,Toronto,TSX
IFC-PE.TO,Intact Financial Corporation,18388731900,Financial Services,Insurance Property & Casualty,0.0,25.56,1.3,3574,Toronto,TSX
POW.TO,Power Corporation of Canada,18354180100,Financial Services,Insurance Life,0.99082,26.69,1.6625,1856791,Toronto,TSX
BIP-UN.TO,Brookfield Infrastructure Partners LP,18289952800,Utilities,Utilities Diversified,0.76829,61.94,2.0275,311192,Toronto,TSX
H.TO,Hydro One Ltd,17950644200,Utilities,Utilities Regulated Electric,0.22139,30.04,0.9781,859475,Toronto,TSX
CQP,Cheniere Energy Partners LP,17356849200,Energy,Oil & Gas Midstream,1.23489,35.86,2.5,197651,NYSE American,AMEX
MRU.TO,Metro Inc,16017797100,Consumer Defensive,Grocery Stores,-0.13362,63.62,0.85,524000,Toronto,TSX
DOL.TO,Dollarama Inc,15907821600,Consumer Defensive,Discount Stores,0.89321,51.13,0.176,642241,Toronto,TSX
IFC-PG.TO,Intact Financial Corporation,15754927100,Financial Services,Insurance Property & Casualty,0.0,18.24,1.225,5195,Toronto,TSX
PPL.TO,Pembina Pipeline Corp,15752830000,Energy,Oil & Gas Midstream,1.75845,28.65,2.45,1869911,Toronto,TSX
BPY-UN.TO,Brookfield Property Partners LP,15728959500,Real Estate,Real Estate Services,1.63677,17.03,1.325,1150649,Toronto,TSX
WN.TO,George Weston Ltd,15215729700,Consumer Defensive,Grocery Stores,0.25006,97.15,2.09,175985,Toronto,TSX
K.TO,Kinross Gold Corp,15097199600,Basic Materials,Gold,1.38204,12.0,0.0,5462724,Toronto,TSX
SAP.TO,Saputo Inc,14342757400,Consumer Defensive,Packaged Foods,0.45445,35.09,0.68,416393,Toronto,TSX
EMA.TO,Emera Inc,13893443600,Utilities,Utilities Diversified,0.21505,56.34,2.425,868204,Toronto,TSX
BEP-UN.TO,Brookfield Renewable Partners LP,13027281900,Utilities,Utilities Renewable,0.65658,71.11,2.73838,295914,Toronto,TSX
LNG,Cheniere Energy Inc,12622739500,Energy,Oil & Gas Midstream,1.63615,50.04,0.0,1364275,NYSE American,AMEX
AQN.TO,Algonquin Power & Utilities Corp,12277797900,Utilities,Utilities Renewable,0.29944,20.73,0.72306,2535329,Toronto,TSX
IMO.TO,Imperial Oil Ltd,12009499600,Energy,Oil & Gas Integrated,2.03332,16.36,0.88,1321537,Toronto,TSX
SJR-B.TO,Shaw Communications Inc,11878920200,Communication Services,Telecom Services,0.45775,23.13,1.185,969341,Toronto,TSX
FFH.TO,Fairfax Financial Holdings Ltd,11073804300,Financial Services,Insurance Property & Casualty,0.68869,384.65,13.118,55987,Toronto,TSX
ZAG.TO,BMO Aggregate Bond Index ETF,10533256200,,,0.0,16.73,0.4799999999999999,105541,Toronto,TSX
